15,4,1.000000
15,5,1.000000
14,6,0.603922
15,6,1.000000
13,7,1.000000
16,8,0.137255
12,9,0.105882
16,9,1.000000
12,10,1.000000
16,10,1.000000
12,11,0.913725
16,11,1.000000
11,12,0.176471
16,12,0.819608
11,13,1.000000
11,14,0.819608
15,14,0.839216
16,14,1.000000
17,14,1.000000
18,14,1.000000
10,15,0.639216
11,15,1.000000
17,15,1.000000
10,16,1.000000
17,16,0.749020
9,17,0.321569
17,17,0.094118
9,18,0.678431
18,18,0.176471
8,19,1.000000
18,19,1.000000
8,20,0.054902
18,20,1.000000
5,21,0.607843
7,21,1.000000
18,21,0.278431
6,22,0.733333
19,22,0.392157
19,23,1.000000
